Ticker,Stock Price,Market Cap,Number of Shares to Buy,Total Cost
ADSK,291.03,62264410112,0.0,0.0
FTNT,105.015,80380157952,0.0,0.0
DASH,234.125,99209060352,0.0,0.0
EOG,117.975,64389222400,0.0,0.0
ROP,544.73,58566643712,0.0,0.0
AZO,3703.17,61949218816,0.0,0.0
TRV,259.66,58830905344,0.0,0.0
BK,97.0536,68446179328,0.0,0.0
JCI,108.4691,71377764352,0.0,0.0
NEM,57.315,63791591424,0.0,0.0
APD,289.825,64498819072,0.0,0.0
APO,155.7,88981618688,0.0,0.0
MAR,272.76,74707877888,0.0,0.0
HLT,272.115,64681734144,0.0,0.0
REGN,550.23,59405578240,0.0,0.0
RCL,344.71,93609443328,0.0,0.0
CARR,76.15,64959148032,0.0,0.0
CSX,34.255,64349732864,0.0,0.0
AEP,105.83,56533860352,0.0,0.0
WDAY,229.575,61203775488,0.0,0.0
ABNB,138.54,85508685824,0.0,0.0
CPRT,46.035,44512899072,0.0,0.0
FCX,44.065,63286149120,0.0,0.0
ALL,190.585,50470338560,0.0,0.0
DLR,175.6225,60263276544,0.0,0.0
AFL,100.855,54526750720,0.0,0.0
KMI,27.495,61115060224,0.0,0.0
TFC,44.8753,58766000128,0.0,0.0
FICO,1550.47,37741076480,0.0,0.0
OKE,80.5,50282876928,0.0,0.0
NSC,266.82,60152971264,0.0,0.0
RSG,239.71,74908655616,0.0,0.0
SPG,162.1,61134233600,0.0,0.0
AXON,748.82,58296238080,0.0,0.0
O,56.63,51141423104,0.0,0.0
COR,295.21,57218490368,0.0,0.0
FDX,227.49,54506381312,0.0,0.0
AIG,80.32,46290825216,0.0,0.0
PAYX,143.11,51554521088,0.0,0.0
DFS,200.05,50343182336,0.0,0.0
BDX,178.55,51173683200,0.0,0.0
PWR,394.76,58503041024,0.0,0.0
SLB,34.4788,46579482624,0.0,0.0
PCAR,93.55,49109917696,0.0,0.0
SRE,76.34,49786654720,0.0,0.0
VST,181.78,61683769344,0.0,0.0
NXPI,222.78,56280686592,0.0,0.0
KR,72.17,47715627008,0.0,0.0
PSA,284.39,49890828288,0.0,0.0
MPC,173.87,53415301120,0.0,0.0
ROST,130.03,42529042432,0.0,0.0
GM,53.3,51244486656,0.0,0.0
AMP,534.58,50904154112,0.0,0.0
GWW,1027.015,49336979456,0.0,0.0
KDP,33.725,45804953600,0.0,0.0
D,57.715,49218830336,0.0,0.0
KVUE,21.805,41863639040,0.0,0.0
CTVA,73.12,49880272896,0.0,0.0
FAST,45.71,52457709568,0.0,0.0
TEL,178.57,52954402816,0.0,0.0
EXC,43.115,43526316032,0.0,0.0
PSX,124.5,50725904384,0.0,0.0
MET,76.92,51636240384,0.0,0.0
CCI,103.85,45222416384,0.0,0.0
TGT,103.355,46961000448,0.0,0.0
KMB,127.29,42236858368,0.0,0.0
EW,75.49,44282433536,0.0,0.0
URI,814.98,52972883968,0.0,0.0
VRSK,302.04,42250563584,0.0,0.0
MSCI,575.84,44553609216,0.0,0.0
MNST,58.95,57490751488,0.0,0.0
CMI,345.26,47561293824,0.0,0.0
YUM,147.385,40967868416,0.0,0.0
FIS,80.265,42170830848,0.0,0.0
LHX,264.51,49449086976,0.0,0.0
XEL,69.56,40119496704,0.0,0.0
IDXX,518.0379,41661595648,0.0,0.0
F,11.175,44437946368,0.0,0.0
AME,178.82,41285787648,0.0,0.0
PEG,83.26,41546575872,0.0,0.0
CTSH,75.28,37108674560,0.0,0.0
CHTR,381.355,52103774208,0.0,0.0
OTIS,100.42,39633461248,0.0,0.0
VLO,144.57,45280194560,0.0,0.0
PCG,13.305,29240135680,0.0,0.0
ED,100.56,36231364608,0.0,0.0
CBRE,138.67,41338220544,0.0,0.0
EA,148.81,37391785984,0.0,0.0
HIG,120.96,34365100032,0.0,0.0
TTWO,230.7,42192031744,0.0,0.0
PRU,102.375,36241469440,0.0,0.0
HES,147.96,45759741952,0.0,0.0
BKR,38.97,38609530880,0.0,0.0
ETR,84.59,37755478016,0.0,0.0
RMD,255.345,37440475136,0.0,0.0
CAH,160.14,38221733888,0.0,0.0
VMC,261.42,34534629376,0.0,0.0
ACGL,88.28,33083371520,0.0,0.0
DHI,131.13,40280645632,0.0,0.0
SYY,77.21,37427699712,0.0,0.0
TRGP,164.92,35776425984,0.0,0.0
GLW,53.84,46112399360,0.0,0.0
WEC,106.09,33856925696,0.0,0.0
EBAY,76.12,35079446528,0.0,0.0
EFX,260.31,32330242048,0.0,0.0
IT,360.71,27762728960,0.0,0.0
DXCM,84.735,33225187328,0.0,0.0
VICI,32.955,34823880704,0.0,0.0
MLM,548.405,33060816896,0.0,0.0
ROK,356.255,40155639808,0.0,0.0
WAB,211.48,36189724672,0.0,0.0
NDAQ,89.64,51464294400,0.0,0.0
GEHC,75.43,34538266624,0.0,0.0
CSGP,85.145,35921567744,0.0,0.0
IR,86.96,35085144064,0.0,0.0
EQT,59.085,35369816064,0.0,0.0
LULU,231.105,27698165760,0.0,0.0
EXR,147.745,32735119360,0.0,0.0
DAL,55.77,36414910464,0.0,0.0
A,114.94,32650430464,0.0,0.0
CNC,29.38,14619576320,0.0,0.0
WTW,301.98,29941258240,0.0,0.0
MPWR,715.28,34247608320,0.0,0.0
HUM,224.57,27104028672,0.0,0.0
GIS,50.35,27311251456,0.0,0.0
ODFL,163.12,34471329792,0.0,0.0
DELL,123.08,83249102848,0.0,0.0
XYL,131.275,31945902080,0.0,0.0
STZ,170.165,30003660800,0.0,0.0
MTB,193.59,30303029248,0.0,0.0
GRMN,223.44,43021361152,0.0,0.0
ANSS,374.3,32906993664,0.0,0.0
AVB,202.2825,28798554112,0.0,0.0
VTR,65.42,29529016320,0.0,0.0
IRM,98.55,29076586496,0.0,0.0
AWK,141.3225,27559581696,0.0,0.0
DTE,134.5619,27923748864,0.0,0.0
OXY,43.53,42839306240,0.0,0.0
DD,74.34,31111215104,0.0,0.0
BR,235.94,27714220032,0.0,0.0
TSCO,56.355,29879590912,0.0,0.0
NUE,139.23,32127461376,0.0,0.0
STT,106.45,30398072832,0.0,0.0
RJF,158.04,31885359104,0.0,0.0
BRO,103.99,34297667584,0.0,0.0
MCHP,74.28,40087060480,0.0,0.0
AEE,96.98,26292443136,0.0,0.0
KEYS,162.27,27928127488,0.0,0.0
PPL,35.475,26225389568,0.0,0.0
UAL,90.03,29403887616,0.0,0.0
GDDY,168.69,24036300800,0.0,0.0
IQV,161.365,27916146688,0.0,0.0
ATO,155.4,24683268096,0.0,0.0
LEN,109.41,28194412544,0.0,0.0
FANG,140.65,41093427200,0.0,0.0
SBAC,232.97,25031460864,0.0,0.0
PPG,115.55,26226962432,0.0,0.0
HSY,170.65,34574372864,0.0,0.0
FITB,42.47,28348385280,0.0,0.0
KHC,27.915,33038518272,0.0,0.0
CNP,36.495,23821307904,0.0,0.0
HPQ,24.605,23110811648,0.0,0.0
NRG,146.73,28687181824,0.0,0.0
TPL,1005.28,23108673536,0.0,0.0
TYL,560.89,24187541504,0.0,0.0
VLTO,101.735,25216137216,0.0,0.0
CDW,179.07,23580833792,0.0,0.0
DOV,189.9766,26046550016,0.0,0.0
CBOE,238.315,24954679296,0.0,0.0
FTV,50.82,17272803328,0.0,0.0
EQR,67.16,26300395520,0.0,0.0
IP,50.82,26827980800,0.0,0.0
DRI,206.745,24194539520,0.0,0.0
VRSN,280.52,26340827136,0.0,0.0
MTD,1195.61,24848123904,0.0,0.0
ES,64.97,23869003776,0.0,0.0
EXE,107.105,25488742400,0.0,0.0
CINF,147.835,23107203072,0.0,0.0
ADM,52.545,25245243392,0.0,0.0
CPAY,331.98,23402399744,0.0,0.0
CHD,96.91,23866703872,0.0,0.0
TDY,550.69,25804947456,0.0,0.0
K,79.885,27715223552,0.0,0.0
STE,224.9,22123636736,0.0,0.0
HPE,20.84,27346665472,0.0,0.0
HBAN,16.915,24678987776,0.0,0.0
FE,40.59,23426760704,0.0,0.0
EIX,51.345,19755708416,0.0,0.0
WRB,67.98,25788622848,0.0,0.0
SYF,69.98,26638376960,0.0,0.0
NVR,7413.62,21676165120,0.0,0.0
CMS,70.86,21195927552,0.0,0.0
LYV,149.205,34581540864,0.0,0.0
CCL,29.105,39462883328,0.0,0.0
AMCR,9.4493,21651558400,0.0,0.0
DVN,32.645,20961353728,0.0,0.0
PHM,109.25,21896650752,0.0,0.0
WAT,292.695,17418016768,0.0,0.0
LH,246.0,20590200832,0.0,0.0
EXPE,180.085,22892587008,0.0,0.0
SW,45.845,23931686912,0.0,0.0
TROW,105.25,23188258816,0.0,0.0
DOW,28.255,19972384768,0.0,0.0
STX,147.5,31302006784,0.0,0.0
LDOS,162.18,20875646976,0.0,0.0
DG,109.465,24090073088,0.0,0.0
WBD,12.7852,31631480832,0.0,0.0
WSM,169.4,20835860480,0.0,0.0
PTC,198.65,23827668992,0.0,0.0
INVH,32.225,19752280064,0.0,0.0
GPN,83.48,20359102464,0.0,0.0
NTRS,126.02,24515805184,0.0,0.0
DGX,167.17,18662023168,0.0,0.0
RF,24.365,21902428160,0.0,0.0
NTAP,105.57,21152638976,0.0,0.0
MKC,71.64,19215065088,0.0,0.0
DECK,100.96,15087057920,0.0,0.0
HUBB,431.235,23016132608,0.0,0.0
IFF,74.335,19014150144,0.0,0.0
ZBH,93.65,18528464896,0.0,0.0
WY,25.72,18654021632,0.0,0.0
MAA,151.065,18145626112,0.0,0.0
NI,40.34,18988158976,0.0,0.0
LII,605.57,21488531456,0.0,0.0
LUV,36.5233,20813385728,0.0,0.0
STLD,130.48,19370276864,0.0,0.0
ESS,288.27,19904927744,0.0,0.0
MOH,207.5,11246499840,0.0,0.0
ULTA,487.42,21907384320,0.0,0.0
PODD,284.8105,20043507712,0.0,0.0
HAL,21.45,18440888320,0.0,0.0
DLTR,107.36,22405603328,0.0,0.0
BIIB,128.1,18770237440,0.0,0.0
FDS,434.35,16421384192,0.0,0.0
CFG,48.995,21246631936,0.0,0.0
CTRA,24.365,18596853760,0.0,0.0
JBL,222.03,23828037632,0.0,0.0
CLX,128.96,15894707200,0.0,0.0
ON,59.445,24841172992,0.0,0.0
SNA,332.7475,17399699456,0.0,0.0
PFG,80.23,17986844672,0.0,0.0
DPZ,468.0,16025022464,0.0,0.0
COO,72.715,14507586560,0.0,0.0
TRMB,81.59,19466313728,0.0,0.0
PKG,202.055,18180909056,0.0,0.0
GPC,122.8,17043411968,0.0,0.0
SMCI,53.4765,31917826048,0.0,0.0
TSN,53.75,19147577344,0.0,0.0
TPR,101.33,21045227520,0.0,0.0
ROL,55.75,27019016192,0.0,0.0
BAX,27.705,14217513984,0.0,0.0
FFIV,299.63,17208229888,0.0,0.0
LNT,62.845,16143372288,0.0,0.0
WST,223.07,16026554368,0.0,0.0
L,91.5275,19193040896,0.0,0.0
BALL,57.705,16008404992,0.0,0.0
PNR,106.17,17467832320,0.0,0.0
KEY,18.325,20083101696,0.0,0.0
EXPD,113.56,15551814656,0.0,0.0
GEN,29.865,18523168768,0.0,0.0
WDC,67.23,23455070208,0.0,0.0
EVRG,68.07,15662295040,0.0,0.0
J,138.845,16683060224,0.0,0.0
EG,330.61,14062396416,0.0,0.0
OMC,71.185,13790172160,0.0,0.0
LYB,62.65,20135710720,0.0,0.0
FSLR,172.605,18510850048,0.0,0.0
EL,85.495,30756999168,0.0,0.0
CF,91.75,14864417792,0.0,0.0
APTV,69.695,15174691840,0.0,0.0
IEX,182.2,13764226048,0.0,0.0
AVY,179.105,14001640448,0.0,0.0
KIM,21.535,14568341504,0.0,0.0
LVS,48.81,34490511360,0.0,0.0
ZBRA,327.68,16663937024,0.0,0.0
BBY,67.79,14327214080,0.0,0.0
TXT,84.58,15269989376,0.0,0.0
JKHY,177.95,12957606912,0.0,0.0
MAS,65.46,13808263168,0.0,0.0
AKAM,77.49,11029616640,0.0,0.0
BLDR,126.25,13952519168,0.0,0.0
ALGN,191.72,13896785920,0.0,0.0
UDR,40.8,15381436416,0.0,0.0
HOLX,63.42,14132829184,0.0,0.0
CPT,114.31,12212651008,0.0,0.0
TER,92.65,14862913536,0.0,0.0
ALLE,152.36,13110470656,0.0,0.0
DOC,18.35,12748333056,0.0,0.0
JNPR,39.95,13358601216,0.0,0.0
SJM,108.045,11526672384,0.0,0.0
REG,69.565,12704169984,0.0,0.0
PAYC,225.51,12632506368,0.0,0.0
POOL,296.615,11151299584,0.0,0.0
ARE,78.96,13659210752,0.0,0.0
RVTY,95.05,11203544064,0.0,0.0
TKO,167.685,13707830272,0.0,0.0
CAG,18.945,9045157888,0.0,0.0
FOXA,55.88,24039464960,0.0,0.0
JBHT,151.78,14692152320,0.0,0.0
VTRS,9.205,10803724288,0.0,0.0
NWSA,29.84,17725020160,0.0,0.0
UHS,170.075,10959700992,0.0,0.0
SWKS,71.6354,10762747904,0.0,0.0
NDSN,216.26,12220614656,0.0,0.0
CHRW,98.765,11726467072,0.0,0.0
PNW,91.66,10944112640,0.0,0.0
LKQ,37.32,9634082816,0.0,0.0
HST,16.055,11288463360,0.0,0.0
KMX,62.5,9379500032,0.0,0.0
EPAM,165.555,9379137536,0.0,0.0
MOS,35.369,11220143104,0.0,0.0
GL,120.241,9925040128,0.0,0.0
BG,72.29,14459228160,0.0,0.0
RL,286.015,17324787712,0.0,0.0
AIZ,187.115,9487161344,0.0,0.0
INCY,69.21,13396979712,0.0,0.0
SWK,70.05,10837645312,0.0,0.0
IPG,24.235,8960528384,0.0,0.0
TAP,50.08,10138045440,0.0,0.0
BXP,68.95,12186429440,0.0,0.0
SOLV,73.21,12666280960,0.0,0.0
DAY,57.045,9120410624,0.0,0.0
HII,253.87,9961629696,0.0,0.0
EMN,78.08,9015116800,0.0,0.0
ERIE,349.78,18289960960,0.0,0.0
HSIC,69.27,8659095552,0.0,0.0
HRL,29.53,16238399488,0.0,0.0
MKTX,212.7393,7978085376,0.0,0.0
MRNA,32.06,12398949376,0.0,0.0
HAS,77.2,10817957888,0.0,0.0
AOS,70.06,9956155392,0.0,0.0
WBA,11.52,9971263488,0.0,0.0
NCLH,23.385,10448581632,0.0,0.0
TECH,52.4,8214591488,0.0,0.0
WYNN,109.25,11422524416,0.0,0.0
AES,13.18,9383145472,0.0,0.0
LW,50.15,7076967424,0.0,0.0
FRT,94.69,8225522176,0.0,0.0
CRL,155.555,7640192512,0.0,0.0
GNRC,148.42,8768890880,0.0,0.0
MGM,37.91,10317168640,0.0,0.0
CPB,31.19,9298674688,0.0,0.0
PARA,12.91,9127963648,0.0,0.0
MTCH,32.17,7888887296,0.0,0.0
ALB,75.54,8888112128,0.0,0.0
IVZ,17.115,7659920896,0.0,0.0
ENPH,39.18,5140690432,0.0,0.0
BEN,24.37,12806946816,0.0,0.0
BF.B,,,,
DVA,141.8,10716818432,0.0,0.0
FOX,51.345,24073000960,0.0,0.0
APA,18.735,6760431104,0.0,0.0
CZR,30.84,6413733376,0.0,0.0
MHK,110.225,6891785216,0.0,0.0
NWS,34.425,17741060096,0.0,0.0
